Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Cincinnati,1016711,9/8/17,"1:13:23:14,13",4,71.67,60,"Belleville, MI  48111"
Football 2017,Cincinnati,103011,9/9/17,"1:1:21:24,23",4,71.67,111.39,"New Canaan, CT  06840"
Football 2017,Cincinnati,1054146,9/6/17,"1:6:62:10,9",2,71.67,66,"Carleton, MI  48117"
Football 2017,Cincinnati,1058175,9/8/17,"1:20:8:8,7",2,71.67,75,"Ada, MI  49301"
Football 2017,Cincinnati,1061957,9/4/17,"1:3:44:12,11",2,71.67,104,"East Lansing, MI  48823"
Football 2017,Cincinnati,1062084,9/5/17,"1:37:20:40,37",4,71.67,96.9,"White Pigeon, MI  49099"
Football 2017,Cincinnati,1063838,8/23/17,"1:20:33:24,23",2,71.67,120,"Temperance, MI  48182"
Football 2017,Cincinnati,1069726,8/10/17,"1:35:49:23,20",4,71.67,93,"Santa Fe, NM 87506"
Football 2017,Cincinnati,111627,8/31/17,"1:6:67:3,1",6,71.67,90,"Bellaire, MI  49615"
Football 2017,Cincinnati,125622,9/6/17,"1:21:55:1,1",2,100,79.82,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,125622,9/6/17,"1:21:55:8,8",2,100,79.82,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,125772,9/6/17,"1:25:21:23,19",10,100,198,"Prairie Village, KS  66208"
Football 2017,Cincinnati,12736,9/8/17,"1:35:49:2,1",4,64.5,55,"Northville, MI  48168"
Football 2017,Cincinnati,14162,9/6/17,"1:7:70:5,5",2,71.67,69.99,"Bloomfield Hills, MI  48301"
Football 2017,Cincinnati,148547,8/5/17,"1:5:25:2,1",4,71.67,125,"West Harrison, IN  47060"
Football 2017,Cincinnati,161731,9/9/17,"1:42:11:8,5",8,85,88.8,"South Lyon, MI  48178"
Football 2017,Cincinnati,164891,9/9/17,"1:15:19:39,39",2,75,50,"Royal Oak, MI  48067"
Football 2017,Cincinnati,18972944,9/5/17,"1:8:74:22,21",4,71.67,65,"Grosse Pointe, MI  48230"
Football 2017,Cincinnati,198884,9/7/17,"1:24:67:20,17",8,71.67,95,"Arlington, VA  22202"
Football 2017,Cincinnati,23908,9/4/17,"1:37:42:17,16",4,71.67,70,"Cincinnati, OH  45243"
Football 2017,Cincinnati,24402609,9/7/17,"1:36:32:20,19",2,71.67,52,"Hartland, MI  48353"
Football 2017,Cincinnati,25128030,9/6/17,"1:8:76:32,31",4,71.67,60,"Midland, MI  48642"
Football 2017,Cincinnati,277739,9/5/17,"1:23:83:20,20",2,100,95,"Whitby, ON  L1P 1V4"
Football 2017,Cincinnati,29038,9/8/17,"1:9:84:12,9",8,71.67,61.88,"Grand Blanc, MI  48439"
Football 2017,Cincinnati,29469,8/16/17,"1:6:41:8,7",4,71.67,97,"Lambertville, MI  48144"
Football 2017,Cincinnati,29947,9/7/17,"1:16:71:26,25",4,71.67,80.13,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,302075,9/7/17,"1:12:21:16,15",4,71.67,60,"Wayzata, MN  55391"
Football 2017,Cincinnati,322094,9/9/17,"1:24:79:28,28",2,100,67.04,"Holland, MI  49423"
Football 2017,Cincinnati,335602,9/7/17,"1:21:51:6,6",2,100,67.26,"White Lake, MI  48383"
Football 2017,Cincinnati,337419,9/7/17,"1:19:53:8,7",4,85,67.9,"Harrison Twp, MI  48045"
Football 2017,Cincinnati,338580,9/9/17,"1:4:66:15,15",2,85,54.75,"Petoskey, MI  49770"
Football 2017,Cincinnati,339913,9/5/17,"1:37:78:25,24",4,71.67,61.23,"Ann Arbor, MI  48108"
Football 2017,Cincinnati,349930,9/8/17,"1:42:84:20,19",4,71.67,67,"Bloomfield Hills, MI  48302"
Football 2017,Cincinnati,355838,8/29/17,"1:13:50:20,19",4,71.67,54,"Lewis Center, OH  43035"
Football 2017,Cincinnati,357689,9/1/17,"1:1:84:4,1",8,71.67,120,"Pepper Pike, OH  44124"
Football 2017,Cincinnati,357689,9/7/17,"1:44:78:12,9",8,71.67,79,"Pepper Pike, OH  44124"
Football 2017,Cincinnati,359198,8/3/17,"1:41:82:13,12",4,71.67,90.64,"Winona Lake, IN  46590"
Football 2017,Cincinnati,359198,8/3/17,"1:41:83:11,10",4,71.67,88,"Winona Lake, IN  46590"
Football 2017,Cincinnati,359198,8/10/17,"1:41:83:3,1",6,71.67,100,"Winona Lake, IN  46590"
Football 2017,Cincinnati,359198,8/11/17,"1:41:73:29,27",6,71.67,96.42,"Winona Lake, IN  46590"
Football 2017,Cincinnati,359198,8/13/17,"1:41:75:4,1",8,71.67,94.99,"Winona Lake, IN  46590"
Football 2017,Cincinnati,363544,9/9/17,"1:40:10:37,36",4,71.67,59.95,"Battle Creek, MI  49037"
Football 2017,Cincinnati,372731,8/17/17,"1:2:36:4,3",4,71.67,138,"West Bloomfield, MI  48323"
Football 2017,Cincinnati,372731,9/6/17,"1:35:86:9,9",2,71.67,50,"West Bloomfield, MI  48323"
Football 2017,Cincinnati,3782,9/8/17,"1:36:53:18,15",8,71.67,66,"Northville, MI  48168"
Football 2017,Cincinnati,384847,9/8/17,"1:4:45:9,9",2,71.67,62.96,"Homer, MI  49245"
Football 2017,Cincinnati,390289,8/15/17,"1:19:82:26,24",6,71.67,98.35,"Fenton, MI  48430"
Football 2017,Cincinnati,390289,8/15/17,"1:19:82:28,27",4,71.67,98,"Fenton, MI  48430"
Football 2017,Cincinnati,39876,8/10/17,"1:37:11:33,32",4,71.67,109,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,40078,8/22/17,"1:21:58:10,9",4,71.67,125,"Flushing, MI  48433"
Football 2017,Cincinnati,403963,9/5/17,"1:36:46:19,16",8,71.67,70.03,"Fraser, MI  48026"
Football 2017,Cincinnati,411954,9/6/17,"1:41:80:31,30",4,71.67,62,"Chelsea, MI  48118"
Football 2017,Cincinnati,413884,9/8/17,"1:16:39:21,20",4,71.67,59,"New York, NY  10023"
Football 2017,Cincinnati,421026,9/8/17,"1:3:38:16,13",8,71.67,75,"Ann Arbor, MI  48108"
Football 2017,Cincinnati,43142627,8/7/17,"1:6:72:25,22",4,85,123.76,"Fayetteville, NY  13066"
Football 2017,Cincinnati,437515,9/6/17,"1:13:22:16,15",4,71.67,75,"Romulus, MI  48174"
Football 2017,Cincinnati,47736,9/1/17,"1:40:68:30,29",4,71.67,80,"Saint Joseph, MI  49085"
Football 2017,Cincinnati,482454,9/7/17,"1:20:6:5,3",6,85,99,"Bowling Green, OH  43402"
Football 2017,Cincinnati,495611,8/5/17,"1:25:26:26,23",8,100,175,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,50078432,9/4/17,"1:19:88:28,27",2,85,52,"Linden, MI  48451"
Football 2017,Cincinnati,502622,9/5/17,"1:36:25:2,1",4,71.67,65,"Rochester Hills, MI  48317"
Football 2017,Cincinnati,502911,9/9/17,"1:1:57:24,24",2,100,70,"Lake Orion, MI  48360"
Football 2017,Cincinnati,50385,9/1/17,"1:43:47:20,19",4,71.67,110,"White Lake, MI  48386"
Football 2017,Cincinnati,504878,8/28/17,"1:4:19:14,13",4,71.67,120,"Brooklyn, MI  49230"
Football 2017,Cincinnati,504899,8/28/17,"1:37:60:15,13",6,71.67,68,"Fort Wayne, IN  46804"
Football 2017,Cincinnati,507326,8/22/17,"1:14:24:17,16",4,75,90,"Eau Claire, MI  49111"
Football 2017,Cincinnati,507454,8/6/17,"1:5:63:32,31",4,71.67,75,"Hudsonville, MI  49426"
Football 2017,Cincinnati,507501,8/11/17,"1:38:89:2,1",4,71.67,85,"Combined Locks, WI  54113"
Football 2017,Cincinnati,507501,8/31/17,"1:17:71:23,22",4,71.67,79.99,"Combined Locks, WI  54113"
Football 2017,Cincinnati,507501,9/4/17,"1:17:21:11,11",2,75,70,"Combined Locks, WI  54113"
Football 2017,Cincinnati,507501,9/4/17,"1:17:50:7,7",2,71.67,75,"Combined Locks, WI  54113"
Football 2017,Cincinnati,507501,9/4/17,"1:39:71:12,11",4,71.67,69,"Combined Locks, WI  54113"
Football 2017,Cincinnati,507526,9/3/17,"1:20:6:10,7",8,85,143.84,"Greenville, MI  48838"
Football 2017,Cincinnati,507568,8/15/17,"1:37:82:24,23",4,71.67,79,"Shelby Township, MI  48315"
Football 2017,Cincinnati,507568,8/17/17,"1:13:34:24,22",6,71.67,128.66,"Shelby Township, MI  48315"
Football 2017,Cincinnati,507595,9/2/17,"1:1:12:25,23",6,100,216.3,"Ann Arbor, MI  48103"
Football 2017,Cincinnati,507610,9/8/17,"1:9:78:4,4",2,71.67,53,"Northport, MI  49670"
Football 2017,Cincinnati,507628,9/1/17,"1:17:42:22,22",2,75,51.12,"Ann Arbor, MI  48105"
Football 2017,Cincinnati,507629,8/13/17,"1:35:15:26,25",4,71.67,88,"Chicago, IL  60626"
Football 2017,Cincinnati,50886,9/8/17,"1:13:49:24,23",4,71.67,70,"Dublin, OH  43017"
Football 2017,Cincinnati,512028,9/9/17,"1:3:1:4,4",2,71.67,50,"Allendale, MI  49401"
Football 2017,Cincinnati,512039,8/20/17,"1:40:A:11,10",4,71.67,115,"Grand Haven, MI  49417"
Football 2017,Cincinnati,512417,8/16/17,"1:11:55:12,9",8,71.67,95,"Riverside, IL  60546"
Football 2017,Cincinnati,512602,7/31/17,"1:20:85:27,27",2,85,88.74,"New Bern, NC  28560"
Football 2017,Cincinnati,512602,9/6/17,"1:20:81:7,7",2,85,89.69,"New Bern, NC  28560"
Football 2017,Cincinnati,512602,9/6/17,"1:20:84:27,27",2,85,89.69,"New Bern, NC  28560"
Football 2017,Cincinnati,512659,9/4/17,"1:9:89:41,39",6,75,65,"Freeland, MI  48623"
Football 2017,Cincinnati,512659,9/8/17,"1:34:79:23,21",6,75,55,"Freeland, MI  48623"
Football 2017,Cincinnati,512659,9/8/17,"1:36:81:34,32",6,71.67,50,"Freeland, MI  48623"
Football 2017,Cincinnati,512659,9/8/17,"1:9:78:4,1",8,71.67,50,"Freeland, MI  48623"
Football 2017,Cincinnati,512759,9/6/17,"1:34:19:10,9",4,71.67,79.9,"San Diego, CA  92110"
Football 2017,Cincinnati,512809,9/6/17,"1:41:89:36,35",4,71.67,61,"Alpena, MI  49707"
Football 2017,Cincinnati,512824,9/3/17,"1:2:9:21,19",6,71.67,144.99,"Freeland, MI  48623"
Football 2017,Cincinnati,512887,8/29/17,"1:21:8:4,1",8,71.67,136,"Kingsford, MI  49802"
Football 2017,Cincinnati,513017,9/9/17,"1:37:60:25,24",4,71.67,45,"Farmington Hills, MI  48335"
Football 2017,Cincinnati,513109,9/6/17,"1:44:47:26,26",2,100,130.04,"Gearhart, OR  97138"
Football 2017,Cincinnati,513187,7/31/17,"1:42:4:9,1",18,85,168,"Chicago, IL  60614"
Football 2017,Cincinnati,513247,9/4/17,"1:41:69:15,15",2,85,65.38,"Farmington Hills, MI  48334"
Football 2017,Cincinnati,513260,8/20/17,"1:19:77:1,1",8,71.67,116,"Milford, MI  48380"
Football 2017,Cincinnati,513338,9/8/17,"1:20:42:8,7",4,71.67,69,"Elmhurst, IL  60126"
Football 2017,Cincinnati,513358,9/7/17,"1:18:2:21,20",8,71.67,75,"Roslyn Heights, NY  11577"
